"name","gender","birthday","state","party","class","start","end"
"Richard Bassett","M","1745-04-02","DE","Anti-Administration",2,1789-03-04,1793-03-03
"Tristram Dalton","M","1738-05-28","MA","Pro-Administration",1,1789-03-04,1791-03-03
"Jonathan Elmer","M","1745-11-29","NJ","Pro-Administration",1,1789-03-04,1791-03-03
"William Few","M","1748-06-08","GA","Anti-Administration",2,1789-03-04,1793-03-03
"William Grayson","M","","VA","Anti-Administration",1,1789-03-04,1791-03-03
"Benjamin Hawkins","M","1754-08-15","NC","Pro-Administration",3,1789-03-04,1795-03-03
"Ralph Izard","M","","SC","Pro-Administration",3,1789-03-04,1795-03-03
"William Johnson","M","1727-10-07","CT","Pro-Administration",3,1789-03-04,1791-12-31
"Samuel Johnston","M","1733-12-15","NC","Pro-Administration",2,1789-03-04,1793-03-03
"Richard Lee","M","1732-01-20","VA","Anti-Administration",2,1789-03-04,1793-03-03
"William Maclay","M","1737-07-20","PA","Anti-Administration",1,1789-03-04,1791-03-03
"Robert Morris","M","1734-01-20","PA","Pro-Administration",3,1789-03-04,1795-03-03
"William Paterson","M","1745-12-24","NJ","Pro-Administration",2,1789-03-04,1791-03-03
"Philemon Dickinson","M","1739-04-05","NJ","Pro-Administration",2,1790-01-01,1793-03-03
"John Walker","M","1744-02-13","VA","Pro-Administration",1,1790-01-01,1791-03-03
"Aaron Burr","M","1756-02-06","NY","Republican",1,1791-10-24,1797-03-03
"George Cabot","M","1752-12-03","MA","Federalist",1,1791-10-24,1797-03-03
"Charles Carroll","M","1737-09-19","MD","Pro-Administration",1,1789-03-04,1791-03-03
"Charles Carroll","M","1737-09-19","MD","",1,1791-10-24,1793-03-03
"Oliver Ellsworth","M","1745-04-29","CT","Pro-Administration",1,1789-03-04,1791-03-03
"Oliver Ellsworth","M","1745-04-29","CT","Federalist",1,1791-10-24,1797-03-03
"George Read","M","1733-09-18","DE","Pro-Administration",1,1789-03-04,1791-03-03
"George Read","M","1733-09-18","DE","",1,1791-10-24,1793-12-31
"Moses Robinson","M","1741-03-22","VT","Anti-Administration",1,1791-10-24,1796-10-15
"Roger Sherman","M","1721-04-19","CT","Pro-Administration",3,1791-10-24,1793-12-31
"John Edwards","M","","KY","Anti-Administration",3,1792-01-01,1795-03-03
"Richard Potts","M","1753-07-19","MD","Federalist",3,1793-01-10,1796-10-14
"William Bradford","M","1729-11-04","RI","Federalist",2,1793-12-02,1797-12-31
"Frederick Frelinghuysen","M","1753-04-13","NJ","Federalist",2,1793-12-02,1797-03-03
"Alexander Martin","M","","NC","Republican",2,1793-12-02,1799-03-03
"Stephen Mitchell","M","1743-12-09","CT","Pro-Administration",3,1793-12-02,1795-03-03
"Caleb Strong","M","1745-01-09","MA","Pro-Administration",2,1789-03-04,1793-03-03
"Caleb Strong","M","1745-01-09","MA","Federalist",2,1793-12-02,1797-03-03
"John Vining","M","1758-12-23","DE","Federalist",2,1793-12-02,1799-03-03
"Paine Wingate","M","1739-05-14","NH","Anti-Administration",2,1789-03-04,1793-03-03
"Henry Tazewell","M","1753-11-27","VA","Republican",2,1794-01-01,1799-03-03
"George Walton","M","","GA","Federalist",2,1795-11-16,1796-02-20
"William Bingham","M","1752-03-08","PA","Federalist",3,1795-12-07,1801-03-03
"Timothy Bloodworth","M","","NC","Republican",3,1795-12-07,1801-03-03
"James Gunn","M","1753-03-13","GA","Federalist",3,1789-03-04,1795-03-03
"James Gunn","M","1753-03-13","GA","Federalist",3,1795-12-07,1801-03-03
"John Henry","M","","MD","Pro-Administration",3,1789-03-04,1795-03-03
"John Henry","M","","MD","Federalist",3,1795-12-07,1797-12-31
"John Langdon","M","1741-06-26","NH","Democratic Republican",3,1789-03-04,1795-03-03
"John Langdon","M","1741-06-26","NH","Republican",3,1795-12-07,1801-03-03
"Humphrey Marshall","M","","KY","Federalist",3,1795-12-07,1801-03-03
"Elijah Paine","M","1757-01-21","VT","Federalist",3,1795-12-07,1801-03-03
"Jacob Read","M","","SC","Federalist",3,1795-12-07,1801-03-03
"Jonathan Trumbull","M","1740-03-26","CT","Federalist",3,1795-12-07,1797-03-03
"William Blount","M","1749-03-26","TN","Republican",2,1796-01-01,1797-12-31
"Benjamin Goodhue","M","1748-09-20","MA","Federalist",1,1796-01-01,1801-03-03
"John Howard","M","1752-06-04","MD","Federalist",1,1796-01-01,1803-03-03
"John Hunter","M","","SC","Republican",2,1796-01-01,1799-03-03
"John Laurance","M","","NY","Federalist",3,1796-01-01,1801-03-03
"Josiah Tattnall","M","","GA","Republican",2,1796-01-01,1799-03-03
"Nathaniel Chipman","M","1752-11-15","VT","Federalist",1,1797-05-15,1803-03-03
"Theodore Foster","M","1752-04-29","RI","Federalist",1,1790-01-01,1797-03-03
"Theodore Foster","M","1752-04-29","RI","Republican",1,1797-05-15,1803-03-03
"Henry Latimer","M","1752-04-24","DE","Federalist",1,1795-12-07,1801-12-31
"James Lloyd","M","","MD","Federalist",3,1797-05-15,1801-03-03
"Stevens Mason","M","1760-12-29","VA","Republican",1,1794-01-01,1803-03-03
"James Ross","M","1762-07-12","PA","Federalist",1,1794-01-01,1803-03-03
"John Rutherfurd","M","1760-09-20","NJ","Federalist",1,1791-10-24,1799-03-03
"Philip Schuyler","M","1733-11-20","NY","Pro-Administration",1,1789-03-04,1791-03-03
"Philip Schuyler","M","1733-11-20","NY","Federalist",1,1797-05-15,1799-03-03
"Joshua Clayton","M","1744-07-20","DE","Federalist",2,1798-01-01,1799-03-03
"John Hobart","M","1738-05-06","NY","Federalist",1,1798-01-01,1799-03-03
"William North","M","","NY","Federalist",1,1798-01-01,1799-03-03
"James Watson","M","1750-04-06","NY","Federalist",1,1798-01-01,1801-03-03
"John Brown","M","1757-09-12","KY","Republican",2,1792-06-18,1799-03-03
"John Brown","M","1757-09-12","KY","Republican",2,1799-12-02,1805-03-03
"William Cocke","M","","TN","Republican",1,1796-01-01,1797-03-03
"William Cocke","M","","TN","Republican",2,1799-12-02,1805-03-03
"Franklin Davenport","M","","NJ","Federalist",1,1798-01-01,1799-12-31
"Jonathan Dayton","M","1760-10-16","NJ","Federalist",2,1799-12-02,1805-03-03
"Samuel Dexter","M","1761-05-14","MA","Federalist",2,1799-12-02,1801-03-03
"Ray Greene","M","1765-02-02","RI","Federalist",2,1797-05-15,1799-03-03
"Ray Greene","M","1765-02-02","RI","Federalist",2,1799-12-02,1801-12-31
"Samuel Livermore","M","1732-05-14","NH","Federalist",2,1793-12-02,1799-03-03
"Samuel Livermore","M","1732-05-14","NH","Federalist",2,1799-12-02,1801-12-31
"Theodore Sedgwick","M","1746-05-09","MA","Federalist",2,1796-01-01,1799-03-03
"Dwight Foster","M","1757-12-07","MA","Federalist",2,1800-01-01,1803-12-31
"William Hindman","M","1743-04-01","MD","Federalist",3,1800-01-01,1801-03-03
"Gouverneur Morris","M","1752-01-31","NY","Federalist",1,1800-01-01,1803-03-03
"John Breckinridge","M","1760-12-02","KY","Republican",3,1801-12-07,1805-12-31
"John Colhoun","M","","SC","Republican",3,1801-12-07,1803-03-03
"Christopher Ellery","M","1768-11-01","RI","Republican",2,1801-12-07,1805-03-03
"James Jackson","M","1757-09-21","GA","Republican",2,1793-12-02,1795-12-31
"James Jackson","M","1757-09-21","GA","Republican",3,1801-12-07,1807-03-03
"George Logan","M","1753-09-09","PA","Republican",3,1801-12-07,1807-03-03
"John Muhlenberg","M","1746-10-01","PA","Democratic Republican",3,1801-12-07,1801-12-31
"Aaron Ogden","M","1756-12-03","NJ","Federalist",1,1801-12-07,1803-03-03
"Simeon Olcott","M","1735-10-01","NH","Federalist",2,1801-12-07,1805-03-03
"James Sheafe","M","1755-11-16","NH","Federalist",3,1801-12-07,1803-03-03
"Uriah Tracy","M","1755-02-02","CT","Federalist",3,1796-01-01,1801-03-03
"Uriah Tracy","M","1755-02-02","CT","Federalist",3,1801-12-07,1807-03-03
"Pierce Butler","M","1744-07-11","SC","Democratic Republican",2,1789-03-04,1793-03-03
"Pierce Butler","M","1744-07-11","SC","Republican",2,1793-12-02,1797-03-03
"Pierce Butler","M","1744-07-11","SC","Republican",3,1802-01-01,1805-03-03
"De Clinton","M","1769-03-02","NY","Republican",3,1802-01-01,1803-12-31
"William Plumer","M","1759-06-25","NH","Federalist",3,1802-01-01,1807-03-03
"Theodorus Bailey","M","1758-10-12","NY","Republican",1,1803-10-17,1805-03-03
"Samuel Maclay","M","1741-06-17","PA","Republican",1,1803-10-17,1809-03-03
"Samuel Potter","M","1753-06-29","RI","Republican",1,1803-10-17,1805-03-03
"Israel Smith","M","1759-04-04","VT","Republican",1,1803-10-17,1807-12-31
"John Smith","M","","OH","Republican",1,1803-10-17,1809-03-03
"Abraham Venable","M","1758-11-20","VA","Republican",1,1803-10-17,1805-03-03
"Samuel White","M","","DE","Federalist",1,1801-12-07,1803-03-03
"Samuel White","M","","DE","Federalist",1,1803-10-17,1809-03-03
"John Armstrong","M","1758-11-25","NY","Republican",3,1800-01-01,1803-03-03
"John Armstrong","M","1758-11-25","NY","Republican",1,1804-01-01,1805-03-03
"Benjamin Howland","M","1755-07-27","RI","Republican",1,1804-01-01,1809-03-03
"Andrew Moore","M","","VA","Republican",1,1804-01-01,1809-03-03
"Abraham Baldwin","M","1754-11-22","GA","Republican",2,1799-12-02,1805-03-03
"Abraham Baldwin","M","1754-11-22","GA","Republican",2,1805-12-02,1807-12-31
"James Fenner","M","1771-01-22","RI","Republican",2,1805-12-02,1807-12-31
"Aaron Kitchell","M","1744-07-10","NJ","Republican",2,1805-12-02,1809-12-31
"Daniel Smith","M","1748-10-29","TN","Republican",1,1798-01-01,1799-12-31
"Daniel Smith","M","1748-10-29","TN","Republican",2,1805-12-02,1809-12-31
"Joseph Stanton","M","1739-07-19","RI","Anti-Administration",2,1790-01-01,1793-03-03
"Thomas Sumter","M","1734-08-14","SC","Republican",2,1801-12-07,1805-03-03
"Thomas Sumter","M","1734-08-14","SC","Republican",2,1805-12-02,1811-03-03
"Buckner Thruston","M","1763-02-09","KY","Republican",2,1805-12-02,1809-12-31
"John Milledge","M","","GA","Republican",3,1806-01-01,1809-12-31
"Stephen Bradley","M","1754-02-20","VT","",3,1791-10-24,1795-03-03
"Stephen Bradley","M","1754-02-20","VT","Republican",3,1801-12-07,1807-03-03
"Stephen Bradley","M","1754-02-20","VT","Republican",3,1807-10-26,1813-03-03
"Jesse Franklin","M","1760-03-24","NC","Republican",2,1799-12-02,1805-03-03
"Jesse Franklin","M","1760-03-24","NC","Republican",3,1807-10-26,1813-03-03
"Chauncey Goodrich","M","1759-10-20","CT","Federalist",3,1807-10-26,1813-03-03
"Andrew Gregg","M","1755-06-10","PA","Republican",3,1807-10-26,1813-03-03
"George Jones","M","1766-02-25","GA","Republican",2,1807-10-26,1807-12-31
"Elisha Mathewson","M","1767-04-18","RI","Republican",2,1807-10-26,1811-03-03
"Nahum Parker","M","1760-03-04","NH","Republican",3,1807-10-26,1811-03-03
"John Smith","M","1752-02-12","NY","Republican",3,1804-01-01,1807-03-03
"John Smith","M","1752-02-12","NY","Republican",3,1807-10-26,1813-03-03
"Edward Tiffin","M","1766-06-19","OH","Republican",3,1807-10-26,1809-12-31
"Return Meigs","M","1764-11-17","OH","Republican",1,1808-01-01,1811-03-03
"Joseph Anderson","M","1757-11-05","TN","Republican",2,1797-05-15,1799-03-03
"Joseph Anderson","M","1757-11-05","TN","Republican",1,1799-12-02,1803-03-03
"Joseph Anderson","M","1757-11-05","TN","Republican",1,1803-10-17,1815-03-03
"Richard Brent","M","","VA","Republican",1,1809-05-22,1815-03-03
"Alexander Campbell","M","","OH","Republican",3,1809-05-22,1813-03-03
"Christopher Champlin","M","1768-04-12","RI","Federalist",1,1809-05-22,1811-12-31
"Obadiah German","M","1766-04-22","NY","Republican",1,1809-05-22,1815-03-03
"Stanley Griswold","M","1763-11-14","OH","Republican",3,1809-05-22,1809-12-31
"James Hillhouse","M","1754-10-20","CT","Federalist",1,1796-01-01,1803-03-03
"James Hillhouse","M","1754-10-20","CT","Federalist",1,1803-10-17,1811-03-03
"John Lambert","M","1746-02-24","NJ","Republican",1,1809-05-22,1815-03-03
"Michael Leib","M","1760-01-08","PA","Republican",1,1809-05-22,1815-03-03
